[2025-11-26 23:57:41] [WARNING ] [ShellScript  ] : LIMPEZA COMPLETA REALIZADA
[2025-11-26 23:57:51] [DEBUG   ] [hpack.hpack] : Encoding 28 with 6 bits
[2025-11-26 23:57:51] [DEBUG   ] [hpack.hpack] : Encoding 1 with 7 bits
[2025-11-26 23:57:51] [DEBUG   ] [hpack.hpack] : Adding (b'content-type', b'application/json') to the header table, sensitive:False, huffman:True
[2025-11-26 23:57:51] [DEBUG   ] [hpack.hpack] : Encoding 31 with 6 bits
[2025-11-26 23:57:51] [DEBUG   ] [hpack.hpack] : Encoding 11 with 7 bits
[2025-11-26 23:57:51] [DEBUG   ] [hpack.hpack] : Encoded header block to b"B\x86\xbf\x83>\r\xf8?A\x98\xb2\xdag\xedGCIO\x8e\xa4OC\xf4\xed'\x85\xd1mc\x8ch*\xe4?\x87D\x9cb\xc2\xa1,w\x0b\x12\x19\x15\x9d\x06I\xbb\x9d\x1f\xe5#$C\x92K\n\x84AQ{.\x0fS\x83\xf9c\xe7\x90z\x8e\xaf\xd2g=KN\x94\xd7\xe5\x80.'\x97\x0f@\x85\xae\xc2\xca[?\x8f\xb0\xa9\xb6\xca\xa0\xb0\xb5\xd8T\x16\xa4\x8d&=_@\x8a\xf2\xb1(1jJ\xc6\xaaS\xff\x8dE\xb5\x8e1\xa0\xabW\xe9\x81.&\x97\x07@\x85\x1df\xea__\xa4DqWlt\x19\x13\x8e:\x0b\x16n{7w\xbbGn\x1e\x1f\x9e\xcb\xc0\xf6[\xab3\xbeh\xb7d\x90\xef5\xb8\xff\x1f\x08\xa9\xbaQ\xd8[\x14DqWlt\x19\x13\x8e:\x0b\x16n{7w\xbbGn\x1e\x1f\x9e\xcb\xc0\xf6[\xab3\xbeh\xb7d\x90\xef5\xb8\xff@\x8a\x19\x08Z\xd2\xb5v\x1eSP_\x85\xae\xd8\xe81?@\x8b!\xeaIjJ\xd5\xd8yMA\x7f\x85\xae\xd8\xe81?\\\x81\x17_\x8b\x1du\xd0b\r&=LtA\xea"
[2025-11-26 23:57:51] [DEBUG   ] [httpcore.http2] : send_request_headers.complete
[2025-11-26 23:57:51] [DEBUG   ] [httpcore.http2] : send_request_body.started request=<Request [b'DELETE']> stream_id=1
[2025-11-26 23:57:51] [DEBUG   ] [httpcore.http2] : send_request_body.complete
[2025-11-26 23:57:51] [DEBUG   ] [httpcore.http2] : receive_response_headers.started request=<Request [b'DELETE']> stream_id=1
[2025-11-26 23:57:51] [DEBUG   ] [httpcore.http2] : receive_remote_settings.started
[2025-11-26 23:57:51] [DEBUG   ] [httpcore.http2] : receive_remote_settings.complete return_value=<RemoteSettingsChanged changed_settings:{ChangedSetting(setting=SettingCodes.MAX_CONCURRENT_STREAMS, original_value=None, new_value=100), ChangedSetting(setting=SettingCodes.INITIAL_WINDOW_SIZE, original_value=65535, new_value=65536), ChangedSetting(setting=SettingCodes.MAX_FRAME_SIZE, original_value=16384, new_value=16777215)}>
